 ,chunk,ID,X (pixels),Y (pixels),Radius (pixels),Score,nCircles,Resolution,Frame (slice #),Method
1,Charleston_Hydroflattened_OCMDEM_03_30_1001,0,0,0,0,0.000,0,0,0,0
2,0,1,1449,1228,8,0.730,683,233,1,Full
3,0,2,1827,61,6,0.674,683,233,1,Full
4,0,3,1906,1843,6,0.674,683,233,1,Full
5,0,4,1960,1840,6,0.670,683,233,1,Full
6,0,5,760,766,8,0.652,683,233,1,Full
7,0,6,173,703,6,0.648,683,233,1,Full
8,0,7,512,1973,6,0.648,683,233,1,Full
9,0,8,1412,928,6,0.644,683,233,1,Full
10,0,9,381,342,8,0.644,683,233,1,Full
11,0,10,603,173,7,0.639,683,233,1,Full
12,0,11,399,384,7,0.631,683,233,1,Full
13,0,12,563,71,6,0.631,683,233,1,Full
14,0,13,1825,689,6,0.627,683,233,1,Full
15,0,14,2001,141,6,0.622,683,233,1,Full
16,0,15,1996,1771,6,0.618,683,233,1,Full
17,0,16,492,942,10,0.614,683,233,1,Full
18,0,17,1656,231,6,0.609,683,233,1,Full
19,0,18,296,277,6,0.609,683,233,1,Full
20,0,19,180,851,6,0.609,683,233,1,Full
21,0,20,142,897,6,0.609,683,233,1,Full
22,0,21,1884,229,6,0.605,683,233,1,Full
23,0,22,822,842,7,0.605,683,233,1,Full
24,0,23,812,651,6,0.605,683,233,1,Full
25,0,24,2040,1063,6,0.605,683,233,1,Full
26,0,25,763,297,6,0.601,683,233,1,Full
27,0,26,1573,1680,11,0.601,683,233,1,Full
28,0,27,917,566,6,0.601,683,233,1,Full
29,0,28,54,1324,6,0.601,683,233,1,Full
30,0,29,965,1407,6,0.601,683,233,1,Full
31,0,30,440,1204,6,0.597,683,233,1,Full
32,0,31,1810,413,7,0.597,683,233,1,Full
33,0,32,1675,1621,7,0.597,683,233,1,Full
34,0,33,1607,13,6,0.592,683,233,1,Full
35,0,34,1298,238,6,0.592,683,233,1,Full
36,0,35,273,270,6,0.592,683,233,1,Full
37,0,36,643,852,6,0.592,683,233,1,Full
38,0,37,82,180,7,0.588,683,233,1,Full
39,0,38,1775,104,8,0.588,683,233,1,Full
40,0,39,294,584,8,0.588,683,233,1,Full
41,0,40,355,457,7,0.588,683,233,1,Full
42,0,41,1699,227,6,0.588,683,233,1,Full
43,0,42,1190,248,6,0.588,683,233,1,Full
44,0,43,1252,286,6,0.588,683,233,1,Full
45,0,44,322,1367,6,0.588,683,233,1,Full
46,0,45,131,122,7,0.584,683,233,1,Full
47,0,46,498,157,6,0.584,683,233,1,Full
48,0,47,169,311,6,0.584,683,233,1,Full
49,0,48,1441,1026,7,0.584,683,233,1,Full
50,0,49,546,416,6,0.584,683,233,1,Full
51,0,50,809,842,6,0.584,683,233,1,Full
52,0,51,2014,2010,6,0.584,683,233,1,Full
53,0,52,1993,1488,8,0.579,683,233,1,Full
54,0,53,1335,1619,8,0.579,683,233,1,Full
55,0,54,14,47,6,0.579,683,233,1,Full
56,0,55,635,100,6,0.579,683,233,1,Full
57,0,56,1891,586,6,0.579,683,233,1,Full
58,0,57,1870,428,8,0.575,683,233,1,Full
59,0,58,75,953,9,0.575,683,233,1,Full
60,0,59,760,60,6,0.575,683,233,1,Full
61,0,60,1366,459,8,0.575,683,233,1,Full
62,0,61,683,507,6,0.575,683,233,1,Full
63,0,62,13,1032,6,0.575,683,233,1,Full
64,0,63,1232,968,8,0.575,683,233,1,Full
65,0,64,154,778,7,0.575,683,233,1,Full
66,0,65,510,1767,7,0.575,683,233,1,Full
67,0,66,1130,1045,6,0.575,683,233,1,Full
68,0,67,587,1483,6,0.575,683,233,1,Full
69,0,68,357,1743,6,0.575,683,233,1,Full
70,0,69,1935,1767,6,0.575,683,233,1,Full
71,0,70,1073,231,11,0.571,683,233,1,Full
72,0,71,39,1259,8,0.571,683,233,1,Full
73,0,72,26,105,7,0.571,683,233,1,Full
74,0,73,1791,43,6,0.571,683,233,1,Full
75,0,74,791,144,6,0.571,683,233,1,Full
76,0,75,1394,1113,7,0.571,683,233,1,Full
77,0,76,1209,217,6,0.571,683,233,1,Full
78,0,77,452,222,6,0.571,683,233,1,Full
79,0,78,1598,1104,6,0.571,683,233,1,Full
80,0,79,1860,550,9,0.567,683,233,1,Full
81,0,80,2027,2002,8,0.567,683,233,1,Full
82,0,81,208,88,6,0.567,683,233,1,Full
83,0,82,1734,122,6,0.567,683,233,1,Full
84,0,83,1529,1729,7,0.567,683,233,1,Full
85,0,84,829,1413,11,0.567,683,233,1,Full
86,0,85,1210,184,6,0.567,683,233,1,Full
87,0,86,80,251,6,0.567,683,233,1,Full
88,0,87,1737,374,6,0.567,683,233,1,Full
89,0,88,935,565,6,0.567,683,233,1,Full
90,0,89,49,1207,6,0.567,683,233,1,Full
91,0,90,184,1431,6,0.567,683,233,1,Full
92,0,91,1324,1552,6,0.567,683,233,1,Full
93,0,92,589,159,7,0.562,683,233,1,Full
94,0,93,163,237,8,0.562,683,233,1,Full
95,0,94,927,270,8,0.562,683,233,1,Full
96,0,95,599,322,6,0.562,683,233,1,Full
97,0,96,1376,1325,6,0.562,683,233,1,Full
98,0,97,759,291,8,0.562,683,233,1,Full
99,0,98,255,1742,6,0.562,683,233,1,Full
100,0,99,1984,417,7,0.562,683,233,1,Full
101,0,100,1063,465,7,0.562,683,233,1,Full
102,0,101,699,737,7,0.562,683,233,1,Full
103,0,102,1543,975,7,0.562,683,233,1,Full
104,0,103,1998,1260,7,0.562,683,233,1,Full
105,0,104,1591,1398,7,0.562,683,233,1,Full
106,0,105,855,100,6,0.558,683,233,1,Full
